name,type,zone_code,street,km_marker,lat,lon,note
Arenas Doradas,hotel,C,,,,,
Barcelo Solymar,hotel,B,,,,,
Blau Varadero,hotel,C,,,,,
Brisas del Caribe,hotel,C,,,,,
Grand Aston Paredon,hotel,A,,,,,
GrandMemories & Santuari,hotel,D,,,,,
Iberostar Bella Costa,hotel,C,,,,,
Iberostar Bella Vista,hotel,C,,,,,
Iberostar Laguna Azul,hotel,D,,,,,
Iberostar Playa Alameda,hotel,D,,,,,
Iberostar Selection,hotel,D,,,,,
Iberostar Tainos,hotel,C,,,,,
Las Morals,hotel,C,,,,,
Los Cactus Varadero,hotel,C,,,,,
Melia International,hotel,C,,,,,
Melia Las Americas,hotel,C,,,,,
Melia Las Antillas,hotel,C,,,,,
Melia Marina Varadero,hotel,D,,,,,
Melia Peninsula,hotel,D,,,,,
Melia Varadero,hotel,C,,,,,
Muthu Playa Varadero,hotel,C,,,,,
Occidental Arenas Blancas,hotel,B,,,,,
Palma Real,hotel,B,,,,,
Paradisus Princess,hotel,D,,,,,
Paradisus Varadero,hotel,D,,,,,
Playa Vista Azul,hotel,C,,,,,
Puntarena,hotel,A,,,,,
Resonans Memoris Varadero,hotel,D,,,,,
Roc Arenas Doradas,hotel,C,,,,,
Roc Barlovento,hotel,B,,,,,
Roc Varadero,hotel,B,,,,,
Royalton Hicacos,hotel,D,,,,,
Selectim Family Resort Varadero,hotel,A,,,,,
Sirenis Tropical Varadero,hotel,C,,,,,
Sol Caribe Beach,hotel,C,,,,,
Sol Palmeras,hotel,C,,,,,
Sol Varadero,hotel,C,,,,,
Starfish Cuatro Palmas,hotel,B,,,,,
Starfish Varadero,hotel,C,,,,,
Tuxpan Hotel,hotel,C,,,,,
Valentin el Patriarca,hotel,D,,,,,
Villa Cuba,hotel,C,,,,,
Villa Tortuga,hotel,B,,,,,
